country,mortality_ratio,income,population,region
Qatar,9,101971.99,2414580,Asia
Singapore,9,89160.73,5650020,Asia
Ireland,1.5,71490.805,4665764,Europe
Switzerland,6.9,68159.22,8281735,Europe
United Arab Emirates,3,68076.63,8916909,Asia
Brunei,30,62170.086,421449,Asia
United States,18,58427.55,324607776,North America
Kuwait,11,53808.125,3908745,Asia
Netherlands,3.5,52974.117,17041110,Europe
Austria,4.7,52873.86,8642422,Europe
Germany,3.3,51159.297,82073232,Europe
Sweden,1.7,50928.965,9849344,Europe
Belgium,3.3,49456.4,11248306,Europe
Bahrain,15,48453.727,1362157,Asia
Australia,2.6,47567.68,23820240,Oceania
Canada,7.1,47522.14,35732120,North America
Saudi Arabia,17,47379.355,32749838,Asia
Finland,3.6,45072.59,5479457,Europe
United Kingdom,4.5,44a948.336,65224368,Europe
France,7.6,43345.785,63809768,Europe
New Zealand,9.7,41020.312,4590591,Oceania
Japan,4.4,40402.582,127250936,Asia
Italy,3.4,40247.83,60232908,Europe
Malta,7,39903.938,456585,Europe
South Korea,8.7,38828.742,50994396,Asia
Spain,3.6,37373.95,46431344,Europe
Israel,3.9,37321.016,8007777,Asia
Czechia,6.3,36168.418,10523801,Europe
Oman,19,35188.023,4191784,Asia
Cyprus,7,34573.973,1187286,Europe
Puerto Rico,20,34311.04,3497335,North America
Bahamas,74,34170.23,392707,North America
Slovenia,5,33799.727,2080865,Europe
Portugal,7,31118.791,10365436,Europe
Lithuania,9.5,30748.197,2963764,Europe
Trinidad and Tobago,68,29876.98,1460180,North America
Slovakia,1.8,28728.156,5424449,Europe
Panama,58,28512.926,3957102,North America
Greece,5.4,28260.387,10806644,Europe
Poland,1.6,27667.69,38553148,Europe
Hungary,5.5,27528.307,9844250,Europe
Latvia,55.2,26628.355,1991951,Europe
Seychelles,54,26198.72,99260,Africa
Turkey,14.6,25594.66,79646176,Asia
Russia,18,25488.096,144668384,Europe
Croatia,8,24931.486,4254821,Europe
Equatorial Guinea,296,24563.5,1346974,Africa
Chile,15.5,24464.746,17870122,South America
Kazakhstan,12,24290.418,17835908,Asia
